id;name;call_isin;put_isin;exp_date;strike_price;contract_size;call_in_the_money;call_break_even;put_break_even;call_ask_to_bs;put_ask_to_bs;call_leverage;put_leverage;call_hedge;call_indifference;call_gain;call_gain_monthly;call_margin;put_margin;call_trade_volume;put_trade_volume;instrument_id
1;PCI Florida attitude;empower;Forward dedicated;2020-09-08;53364;79286;false;32443;84343;99598;98413;68944;45189;32686;66019;74145;80576;39706;18216;47933;87500;1
2;Shoal Plain;back-end Bosnia and Herzegovina function;parsing 24/7;2020-09-07;6151;41862;true;71539;81722;38911;35565;45441;55822;90192;22716;42311;11661;35871;10061;81746;8216;2
3;knowledge user Officer Sleek;Fantastic Metal Salad Shoes;South Dakota focus group;2020-09-07;62615;60158;false;309;49835;80271;68349;91459;61472;75469;34428;87801;45363;17020;12433;31464;36059;3
4;white back-end;e-commerce models;multi-tasking orange;2020-09-07;37121;38906;true;96353;68985;73391;80464;47222;38876;22012;15581;17851;2019;35481;56429;14999;1088;4
5;Granite;policy wireless Customer;HTTP Intelligent Concrete Chips;2020-09-08;52632;78468;false;67979;54171;74520;68340;11492;29463;25388;84805;71608;65452;89800;54128;23378;27206;5
6;Mountains needs-based Palau;Credit Card Account primary;invoice;2020-09-07;40685;59795;false;12895;29653;50308;81040;69484;50791;93197;54352;14980;37669;13252;39011;386;29797;6
7;data-warehouse;Avon;SQL capacity;2020-09-07;36474;5761;true;77518;2768;74316;86433;20;17866;85385;86076;92398;82974;37311;10033;64747;36295;7
8;Michigan Cambridgeshire brand;Accounts;incremental Berkshire Dale;2020-09-07;84157;77055;false;81887;80923;76407;33143;94633;34655;45619;48807;33263;32732;13688;47351;68015;84098;8
9;CSS multi-byte;Director lime Strategist;Vision-oriented primary;2020-09-08;38205;70252;true;57578;98050;33055;33038;65247;43751;18728;29234;43178;18233;67731;62943;37563;42358;9
10;Bedfordshire;Refined User-friendly Industrial;Handcrafted Plastic Shirt salmon Auto Loan Account;2020-09-08;5485;27357;false;28229;35984;76448;22766;63358;82202;75017;75033;90844;58555;37488;69438;31507;81149;10
