id;token;created_at;security_fields;bourse_code_id
1;Awesome Wooden Towels;2020-10-12T02:11:12;Dynamic Ergonomic;1
2;Checking Account parsing;2020-10-12T13:39:45;Garden;2
3;Plain red;2020-10-11T17:07:22;Kids;3
4;Secured;2020-10-12T10:36:52;Supervisor quantify support;4
5;applications standardization;2020-10-12T08:01:37;Rustic Handmade Cotton Hat card;5
6;Checking Account Mobility;2020-10-12T12:35:03;compelling Investment Account GB;6
7;Toys;2020-10-11T19:32:07;Towels Fresh Functionality;7
8;olive primary;2020-10-12T11:21:35;auxiliary North Carolina Chair;8
9;Costa Rican Colon;2020-10-12T01:29:40;teal circuit Outdoors;9
10;grey Bike;2020-10-11T17:51:37;Credit Card Account;10
